rbh_set_name,rbh_track_id,rbh_created_date,rbh_set_number,rbh_extract_timestamp
HISTORY 2024-06-18 (1),265,2024-06-18,27,2025-12-11 14:19:05
HISTORY 2024-06-18 (1),604,2024-06-18,27,2025-12-11 14:19:05
HISTORY 2024-06-18 (1),522,2024-06-18,27,2025-12-11 14:19:05
HISTORY 2024-06-18 (1),80,2024-06-18,27,2025-12-11 14:19:05
HISTORY 2024-06-18 (1),88,2024-06-18,27,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),635,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),516,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),657,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),659,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),638,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),642,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),637,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),630,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),517,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),78,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),65,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-07-31 (2),396,2024-07-31,28,2025-12-11 14:19:05
HISTORY 2024-08-01,514,2024-08-01,29,2025-12-11 14:19:05
HISTORY 2024-08-01,655,2024-08-01,29,2025-12-11 14:19:05
HISTORY 2024-08-01,143,2024-08-01,29,2025-12-11 14:19:05
HISTORY 2024-08-01,631,2024-08-01,29,2025-12-11 14:19:05
